ID,longitude,latitude,Z,salinity,date,time,time_value,year,datetime
BL01,105.7217111,9.280444444,,22.90,4/13/2019,7,7:00:00,2019,4/13/2019 7:00
BL01,105.7217111,9.280444444,,20.00,4/13/2019,9,9:00:00,2019,4/13/2019 9:00
BL01,105.7217111,9.280444444,,23.30,4/13/2019,11,11:00:00,2019,4/13/2019 11:00
BL01,105.7217111,9.280444444,,21.10,4/13/2019,13,13:00:00,2019,4/13/2019 13:00
BL01,105.7217111,9.280444444,,20.50,4/13/2019,15,15:00:00,2019,4/13/2019 15:00
BL01,105.7217111,9.280444444,,20.70,4/13/2019,17,17:00:00,2019,4/13/2019 17:00
BL01,105.7217111,9.280444444,,22.60,4/13/2019,19,19:00:00,2019,4/13/2019 19:00
BL01,105.7217111,9.280444444,,22.20,4/13/2019,21,21:00:00,2019,4/13/2019 21:00
BL01,105.7217111,9.280444444,,22.10,4/13/2019,23,23:00:00,2019,4/13/2019 23:00
BL01,105.7217111,9.280444444,,21.80,4/14/2019,1,1:00:00,2019,4/14/2019 1:00
BL01,105.7217111,9.280444444,,20.00,4/14/2019,3,3:00:00,2019,4/14/2019 3:00
BL01,105.7217111,9.280444444,,18.70,4/14/2019,5,5:00:00,2019,4/14/2019 5:00
BL01,105.7217111,9.280444444,,20.80,4/14/2019,7,7:00:00,2019,4/14/2019 7:00
BL01,105.7217111,9.280444444,,23.00,4/14/2019,9,9:00:00,2019,4/14/2019 9:00
BL01,105.7217111,9.280444444,,23.10,4/14/2019,11,11:00:00,2019,4/14/2019 11:00
BL01,105.7217111,9.280444444,,23.30,4/14/2019,13,13:00:00,2019,4/14/2019 13:00
BL01,105.7217111,9.280444444,,22.20,4/14/2019,15,15:00:00,2019,4/14/2019 15:00
BL01,105.7217111,9.280444444,,21.00,4/14/2019,17,17:00:00,2019,4/14/2019 17:00
BL01,105.7217111,9.280444444,,23.00,4/14/2019,19,19:00:00,2019,4/14/2019 19:00
BL01,105.7217111,9.280444444,,22.10,4/14/2019,21,21:00:00,2019,4/14/2019 21:00
BL01,105.7217111,9.280444444,,20.20,4/14/2019,23,23:00:00,2019,4/14/2019 23:00
BL01,105.7217111,9.280444444,,20.30,4/15/2019,1,1:00:00,2019,4/15/2019 1:00
BL01,105.7217111,9.280444444,,20.60,4/15/2019,3,3:00:00,2019,4/15/2019 3:00
BL01,105.7217111,9.280444444,,20.80,4/15/2019,5,5:00:00,2019,4/15/2019 5:00
BL01,105.7217111,9.280444444,,21.40,4/15/2019,7,7:00:00,2019,4/15/2019 7:00
BL01,105.7217111,9.280444444,,19.20,4/15/2019,9,9:00:00,2019,4/15/2019 9:00
BL01,105.7217111,9.280444444,,22.40,4/15/2019,11,11:00:00,2019,4/15/2019 11:00
BL01,105.7217111,9.280444444,,25.40,4/15/2019,13,13:00:00,2019,4/15/2019 13:00
BL01,105.7217111,9.280444444,,25.50,4/15/2019,15,15:00:00,2019,4/15/2019 15:00
BL01,105.7217111,9.280444444,,24.00,4/15/2019,17,17:00:00,2019,4/15/2019 17:00
BL01,105.7217111,9.280444444,,22.10,4/15/2019,19,19:00:00,2019,4/15/2019 19:00
BL01,105.7217111,9.280444444,,22.50,4/15/2019,21,21:00:00,2019,4/15/2019 21:00
BL01,105.7217111,9.280444444,,22.50,4/15/2019,23,23:00:00,2019,4/15/2019 23:00
BL01,105.7217111,9.280444444,,23.10,4/18/2019,1,1:00:00,2019,4/18/2019 1:00
