ID,longitude,latitude,Z,date,time,datetime,salinity,time_value,year
BL01,"105.7217111","9.280444444",,4/13/2019,"3",,"22.9",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"5",,"23.6",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"7",,"22.9",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"9",,"20",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"11",,"23.3",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"13",,"21.1",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"15",,"20.5",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"17",,"20.7",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"19",,"22.6",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"21",,"22.2",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/13/2019,"23",,"22.1",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"1",,"21.8",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"3",,"20",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"5",,"18.7",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"7",,"20.8",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"9",,"23",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"11",,"23.1",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"13",,"23.3",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"15",,"22.2",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"17",,"21",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"19",,"23",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"21",,"22.1",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/14/2019,"23",,"20.2",23:00:00,"2019"
