track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
"0","0","64",-210.6,2019/12/24 22:35:35+00,,,,,,,,,,,,,,,,,,,,,
"0","0","65",-209.4,2019/12/24 22:35:38+00,,,,,,,,,,,,,,,,,,,,,
"0","0","66",-210.4,2019/12/24 22:35:40+00,,,,,,,,,,,,,,,,,,,,,
"0","0","67",-210.6,2019/12/24 22:35:41+00,,,,,,,,,,,,,,,,,,,,,
"0","0","68",-210.8,2019/12/24 22:35:43+00,,,,,,,,,,,,,,,,,,,,,
"0","0","69",-210.4,2019/12/24 22:35:47+00,,,,,,,,,,,,,,,,,,,,,
"0","0","70",-210.2,2019/12/24 22:35:48+00,,,,,,,,,,,,,,,,,,,,,
"0","0","71",-209.8,2019/12/24 22:35:52+00,,,,,,,,,,,,,,,,,,,,,
"0","0","72",-209.8,2019/12/24 22:35:56+00,,,,,,,,,,,,,,,,,,,,,
"0","0","73",-210.2,2019/12/24 22:36:00+00,,,,,,,,,,,,,,,,,,,,,
"0","0","74",-210.2,2019/12/24 22:36:04+00,,,,,,,,,,,,,,,,,,,,,
"0","0","75",-210,2019/12/24 22:36:08+00,,,,,,,,,,,,,,,,,,,,,
"0","0","76",-210.4,2019/12/24 22:36:14+00,,,,,,,,,,,,,,,,,,,,,
"0","0","77",-210.6,2019/12/24 22:36:18+00,,,,,,,,,,,,,,,,,,,,,
"0","0","78",-211,2019/12/24 22:36:20+00,,,,,,,,,,,,,,,,,,,,,
"0","0","79",-211,2019/12/24 22:36:21+00,,,,,,,,,,,,,,,,,,,,,
"0","0","80",-210,2019/12/24 22:36:26+00,,,,,,,,,,,,,,,,,,,,,
"0","0","81",-209,2019/12/24 22:36:27+00,,,,,,,,,,,,,,,,,,,,,
"0","0","82",-210.2,2019/12/24 22:36:29+00,,,,,,,,,,,,,,,,,,,,,
"0","0","83",-209.2,2019/12/24 22:36:33+00,,,,,,,,,,,,,,,,,,,,,
"0","0","84",-208.2,2019/12/24 22:36:34+00,,,,,,,,,,,,,,,,,,,,,
"0","0","85",-208.4,2019/12/24 22:36:40+00,,,,,,,,,,,,,,,,,,,,,
"0","0","86",-209,2019/12/24 22:36:42+00,,,,,,,,,,,,,,,,,,,,,
"0","0","87",-209,2019/12/24 22:36:44+00,,,,,,,,,,,,,,,,,,,,,
"0","0","88",-208.8,2019/12/24 22:36:48+00,,,,,,,,,,,,,,,,,,,,,
"0","0","89",-209,2019/12/24 22:36:53+00,,,,,,,,,,,,,,,,,,,,,
"0","0","90",-208.8,2019/12/24 22:36:55+00,,,,,,,,,,,,,,,,,,,,,
"0","0","91",-208.6,2019/12/24 22:36:57+00,,,,,,,,,,,,,,,,,,,,,
"0","0","92",-208.6,2019/12/24 22:37:00+00,,,,,,,,,,,,,,,,,,,,,
"0","0","93",-209,2019/12/24 22:37:02+00,,,,,,,,,,,,,,,,,,,,,
"0","0","94",-208.4,2019/12/24 22:37:07+00,,,,,,,,,,,,,,,,,,,,,
"0","0","95",-208.4,2019/12/24 22:37:09+00,,,,,,,,,,,,,,,,,,,,,
"0","0","96",-208.6,2019/12/24 22:37:10+00,,,,,,,,,,,,,,,,,,,,,
"0","0","97",-207.6,2019/12/24 22:37:15+00,,,,,,,,,,,,,,,,,,,,,
"0","0","98",-208.4,2019/12/24 22:37:19+00,,,,,,,,,,,,,,,,,,,,,
"0","0","99",-209,2019/12/24 22:37:20+00,,,,,,,,,,,,,,,,,,,,,
"0","0","100",-206.8,2019/12/24 22:37:23+00,,,,,,,,,,,,,,,,,,,,,
"0","0","101",-207.4,2019/12/24 22:37:25+00,,,,,,,,,,,,,,,,,,,,,
"0","0","102",-207.6,2019/12/24 22:37:26+00,,,,,,,,,,,,,,,,,,,,,
"0","0","103",-207.6,2019/12/24 22:37:27+00,,,,,,,,,,,,,,,,,,,,,
"0","0","104",-208,2019/12/24 22:37:28+00,,,,,,,,,,,,,,,,,,,,,
"0","0","105",-208.8,2019/12/24 22:37:31+00,,,,,,,,,,,,,,,,,,,,,
"0","0","106",-208.8,2019/12/24 22:37:33+00,,,,,,,,,,,,,,,,,,,,,
"0","0","107",-208.6,2019/12/24 22:37:34+00,,,,,,,,,,,,,,,,,,,,,
"0","0","108",-209,2019/12/24 22:37:40+00,,,,,,,,,,,,,,,,,,,,,
"0","0","109",-210.2,2019/12/24 22:37:42+00,,,,,,,,,,,,,,,,,,,,,
"0","0","110",-211.2,2019/12/24 22:37:44+00,,,,,,,,,,,,,,,,,,,,,
"0","0","111",-211.6,2019/12/24 22:37:46+00,,,,,,,,,,,,,,,,,,,,,
"0","0","112",-212,2019/12/24 22:37:47+00,,,,,,,,,,,,,,,,,,,,,
"0","0","113",-212.2,2019/12/24 22:37:48+00,,,,,,,,,,,,,,,,,,,,,
"0","0","114",-212.4,2019/12/24 22:37:53+00,,,,,,,,,,,,,,,,,,,,,
"0","0","115",-211.4,2019/12/24 22:37:58+00,,,,,,,,,,,,,,,,,,,,,
"0","0","116",-211.6,2019/12/24 22:38:02+00,,,,,,,,,,,,,,,,,,,,,
"0","0","117",-211.6,2019/12/24 22:38:07+00,,,,,,,,,,,,,,,,,,,,,
"0","0","118",-210,2019/12/24 22:38:08+00,,,,,,,,,,,,,,,,,,,,,
"0","0","119",-209.6,2019/12/24 22:38:12+00,,,,,,,,,,,,,,,,,,,,,
"0","0","120",-209,2019/12/24 22:38:14+00,,,,,,,,,,,,,,,,,,,,,
"0","0","121",-209.4,2019/12/24 22:38:17+00,,,,,,,,,,,,,,,,,,,,,
"0","0","122",-209,2019/12/24 22:38:19+00,,,,,,,,,,,,,,,,,,,,,
"0","0","123",-208.6,2019/12/24 22:38:20+00,,,,,,,,,,,,,,,,,,,,,
"0","0","124",-208,2019/12/24 22:38:24+00,,,,,,,,,,,,,,,,,,,,,
"0","0","125",-209,2019/12/24 22:38:28+00,,,,,,,,,,,,,,,,,,,,,
"0","0","126",-208.8,2019/12/24 22:38:32+00,,,,,,,,,,,,,,,,,,,,,
"0","0","127",-208.4,2019/12/24 22:38:35+00,,,,,,,,,,,,,,,,,,,,,
"0","0","128",-208,2019/12/24 22:38:37+00,,,,,,,,,,,,,,,,,,,,,
"0","0","129",-208,2019/12/24 22:38:38+00,,,,,,,,,,,,,,,,,,,,,
"0","0","130",-207.8,2019/12/24 22:38:40+00,,,,,,,,,,,,,,,,,,,,,
"0","0","131",-207.8,2019/12/24 22:38:42+00,,,,,,,,,,,,,,,,,,,,,
"0","0","132",-208.2,2019/12/24 22:38:43+00,,,,,,,,,,,,,,,,,,,,,
"0","0","133",-208,2019/12/24 22:38:45+00,,,,,,,,,,,,,,,,,,,,,
"0","0","134",-208,2019/12/24 22:38:46+00,,,,,,,,,,,,,,,,,,,,,
"0","0","135",-207.2,2019/12/24 22:38:49+00,,,,,,,,,,,,,,,,,,,,,
"0","0","136",-208,2019/12/24 22:38:53+00,,,,,,,,,,,,,,,,,,,,,
"0","0","137",-208.4,2019/12/24 22:38:54+00,,,,,,,,,,,,,,,,,,,,,
"0","0","138",-208.4,2019/12/24 22:38:59+00,,,,,,,,,,,,,,,,,,,,,
"0","0","139",-208.2,2019/12/24 22:39:02+00,,,,,,,,,,,,,,,,,,,,,
"0","0","140",-207.8,2019/12/24 22:39:04+00,,,,,,,,,,,,,,,,,,,,,
"0","0","141",-207.6,2019/12/24 22:39:05+00,,,,,,,,,,,,,,,,,,,,,
"0","0","142",-207.8,2019/12/24 22:39:07+00,,,,,,,,,,,,,,,,,,,,,
"0","0","143",-208.2,2019/12/24 22:39:08+00,,,,,,,,,,,,,,,,,,,,,
"0","0","144",-209,2019/12/24 22:39:12+00,,,,,,,,,,,,,,,,,,,,,
"0","0","145",-208.8,2019/12/24 22:39:15+00,,,,,,,,,,,,,,,,,,,,,
"0","0","146",-208.6,2019/12/24 22:39:16+00,,,,,,,,,,,,,,,,,,,,,
"0","0","147",-206.6,2019/12/24 22:39:20+00,,,,,,,,,,,,,,,,,,,,,
"0","0","148",-206.2,2019/12/24 22:39:21+00,,,,,,,,,,,,,,,,,,,,,
"0","0","149",-208.6,2019/12/24 22:39:25+00,,,,,,,,,,,,,,,,,,,,,
"0","0","150",-209,2019/12/24 22:39:26+00,,,,,,,,,,,,,,,,,,,,,
"0","0","151",-209.4,2019/12/24 22:39:30+00,,,,,,,,,,,,,,,,,,,,,
"0","0","152",-209.2,2019/12/24 22:39:31+00,,,,,,,,,,,,,,,,,,,,,
"0","0","153",-208.4,2019/12/24 22:39:33+00,,,,,,,,,,,,,,,,,,,,,
"0","0","154",-208.2,2019/12/24 22:39:34+00,,,,,,,,,,,,,,,,,,,,,
"0","0","155",-209.4,2019/12/24 22:39:39+00,,,,,,,,,,,,,,,,,,,,,
"0","0","156",-209.6,2019/12/24 22:39:41+00,,,,,,,,,,,,,,,,,,,,,
"0","0","157",-209.6,2019/12/24 22:39:43+00,,,,,,,,,,,,,,,,,,,,,
"0","0","158",-208.4,2019/12/24 22:39:48+00,,,,,,,,,,,,,,,,,,,,,
"0","0","159",-208.4,2019/12/24 22:39:49+00,,,,,,,,,,,,,,,,,,,,,
"0","0","160",-209.4,2019/12/24 22:39:54+00,,,,,,,,,,,,,,,,,,,,,
"0","0","161",-209.4,2019/12/24 22:39:55+00,,,,,,,,,,,,,,,,,,,,,
"0","0","162",-209,2019/12/24 22:39:57+00,,,,,,,,,,,,,,,,,,,,,
"0","0","163",-208.6,2019/12/24 22:39:58+00,,,,,,,,,,,,,,,,,,,,,
"0","0","164",-208.2,2019/12/24 22:40:02+00,,,,,,,,,,,,,,,,,,,,,
