id,trackerId,datetime,longitude,latitude,speed,heading,driver,deviceStatus,session,motionActivity,sysId,_t,meta,date_string
"1",23A89814-3D2E-4DBC-8005-291F92364501@ramesh678,2023/09/18 20:07:19,106.660021432364,10.8025691214647,0,208.1543,ramesh678,"2","1695047829","64",EOIHHN,2023/09/18 20:07:25,,2023/09/18
"2",23A89814-3D2E-4DBC-8005-291F92364501@ramesh678,2023/09/18 20:14:02,106.659209673686,10.7937788477088,0,0,ramesh678,"2","1695048242","16",EOIHHN,2023/09/18 20:14:14,,2023/09/18
